EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
Banaro,Patrilineal,20.5,10.5,31,1
Busama,Bilateral,10.5,10.5,21,1
Manam,Patrilineal,2.5,2.5,5,1
Arapesh,Patrilineal,20.5,10.5,31,1
Mimika,Matrilineal,40.5,10.5,51,2
Fore,Patrilineal,10.5,10.5,21,1
Luguru,Matrilineal,2.5,10.5,13,1
Sio,Bilateral,2.5,10.5,13,1
Soromadja,Patrilineal,60.5,20.5,81,3
Bgu,Bilateral,50.5,20.5,71,3
Iatmul,Patrilineal,2.5,2.5,5,1
Samarokena,Bilateral,50.5,30.5,81,3
Star Mountain,Patrilineal,10.5,20.5,31,1
Dani,Patrilineal,2.5,2.5,5,1
Elema,Patrilineal,30.5,10.5,41,2
Wogeo,Bilateral,20.5,2.5,23,1
Keraki,Patrilineal,2.5,10.5,13,1
Iwa,Patrilineal,2.5,10.5,13,1
Waropen,Patrilineal,30.5,10.5,41,2
Enga,Patrilineal,2.5,10.5,13,1
Purari,Patrilineal,40.5,10.5,51,2
Orokaiva,Patrilineal,10.5,10.5,21,1
Palauans,Bilateral,2.5,2.5,5,1
Nomoians,Matrilineal,2.5,2.5,5,1
Kosraeans,Matrilineal,2.5,2.5,5,1
Bikinians,Matrilineal,2.5,2.5,5,1
Nauruans,Bilateral,2.5,2.5,5,1
Makin,Bilateral,2.5,10.5,13,1
Ngonde,Patrilineal,2.5,10.5,13,1
Carolinians,Matrilineal,2.5,2.5,5,1
Lamotrek,Matrilineal,2.5,2.5,5,1
Marshallese,Matrilineal,10.5,2.5,13,1
Trukese,Bilateral,2.5,2.5,5,1
Majuro,Bilateral,2.5,2.5,5,1
Ifaluk,Bilateral,2.5,2.5,5,1
Ponapeans,Matrilineal,2.5,2.5,5,1
Yapese,Bilateral,2.5,2.5,5,1
Gilbert Onotoa,Bilateral,10.5,2.5,13,1
Chamorro,Bilateral,2.5,2.5,5,1
Safwa,Patrilineal,2.5,10.5,13,1
Ulithians,Matrilineal,2.5,2.5,5,1
Siuai,Matrilineal,20.5,10.5,31,1
Usiai,Bilateral,20.5,2.5,23,1
Rossel Islanders,Matrilineal,30.5,10.5,41,2
Choiseulese,Bilateral,10.5,10.5,21,1
Aua,Matrilineal,2.5,10.5,13,1
Dahuni,Matrilineal,2.5,10.5,13,1
Bakovi,Patrilineal,20.5,10.5,31,1
Bwaidoga,Bilateral,2.5,2.5,5,1
Kombe,Patrilineal,2.5,2.5,5,1
Bende,Patrilineal,2.5,20.5,23,1
Kwaio,Bilateral,2.5,20.5,23,1
Molima,Bilateral,2.5,2.5,5,1
Trobriands,Matrilineal,10.5,2.5,13,1
Kaoka,Matrilineal,2.5,2.5,5,1
Tangu,Matrilineal,2.5,2.5,5,1
Kurtatchi,Bilateral,10.5,10.5,21,1
Lesu,Matrilineal,2.5,10.5,13,1
Dobuans,Matrilineal,2.5,2.5,5,1
Ulawans,Bilateral,2.5,10.5,13,1
Lakalai,Bilateral,20.5,10.5,31,1
Fipa,Patrilineal,2.5,2.5,5,1
Simboese,Bilateral,2.5,2.5,5,1
Manus,Bilateral,2.5,2.5,5,1
Mota,Matrilineal,2.5,2.5,5,1
Tannese,Patrilineal,2.5,2.5,5,1
Epi,Patrilineal,2.5,2.5,5,1
Eromangans,Patrilineal,2.5,2.5,5,1
Ranon,Bilateral,2.5,2.5,5,1
Mbau Fijians,Patrilineal,10.5,2.5,13,1
Seniang,Patrilineal,2.5,10.5,13,1
Bunlap,Bilateral,10.5,2.5,13,1
Nyoro,Patrilineal,2.5,10.5,13,1
Lau,Patrilineal,2.5,2.5,5,1
Ajie,Patrilineal,2.5,2.5,5,1
Rotumans,Bilateral,2.5,2.5,5,1
Lifu,Patrilineal,10.5,2.5,13,1
Vanua Levu,Bilateral,2.5,10.5,13,1
Santa Cruz Islanders,Matrilineal,2.5,10.5,13,1
American Samoans,Bilateral,2.5,2.5,5,1
Rennell Islanders,Bilateral,2.5,2.5,5,1
Tongans,Bilateral,2.5,2.5,5,1
Uveans,Bilateral,2.5,2.5,5,1
Nyamwezi,Bilateral,10.5,10.5,21,1
Upolu Samoans,Bilateral,2.5,2.5,5,1
Tikopia,Bilateral,2.5,2.5,5,1
Pukapukans,Bilateral,2.5,2.5,5,1
Ellice,Bilateral,2.5,2.5,5,1
Ontong Java,Bilateral,2.5,2.5,5,1
Tokelau,Bilateral,2.5,2.5,5,1
Kapingamarangi,Bilateral,2.5,2.5,5,1
Futunans,Bilateral,2.5,2.5,5,1
Niueans,Bilateral,2.5,2.5,5,1
Mangaians,Bilateral,2.5,2.5,5,1
Pimbwe,Patrilineal,2.5,10.5,13,1
Tongarevans,Bilateral,2.5,2.5,5,1
Māori,Bilateral,30.5,10.5,41,2
Marquesans,Bilateral,2.5,2.5,5,1
Manihikians,Bilateral,2.5,2.5,5,1
Raroians,Bilateral,10.5,2.5,13,1
Hawaiians,Bilateral,10.5,2.5,13,1
Mangarevans,Bilateral,2.5,2.5,5,1
Tahitians,Bilateral,2.5,2.5,5,1
Easter Islanders,Bilateral,2.5,10.5,13,1
Hadza,Bilateral,60.5,40.5,100,3
Sukuma,Bilateral,2.5,2.5,5,1
Sangu,Patrilineal,2.5,10.5,13,1
Gogo,Patrilineal,2.5,10.5,13,1
Rangi,Matrilineal,2.5,20.5,23,1
Turu,Patrilineal,2.5,2.5,5,1
Kwere,Matrilineal,2.5,10.5,13,1
Zigula,Matrilineal,2.5,10.5,13,1
Hadimu,Bilateral,2.5,2.5,5,1
Chagga,Patrilineal,2.5,10.5,13,1
Digo,Bilateral,2.5,10.5,13,1
Wadatkuht,Bilateral,60.5,30.5,91,3
Spring Valley Shoshoni,Bilateral,50.5,40.5,91,3
