EASOC,EA043,EA001,EA002,EAHG,EA_ord_val
Opata,Bilateral,20.5,20.5,41,2
Tepehuán,Bilateral,2.5,20.5,23,1
Chinantec,Bilateral,2.5,2.5,5,1
Zapotec,Bilateral,2.5,2.5,5,1
Huastec,Bilateral,2.5,20.5,23,1
Mixtec,Bilateral,2.5,2.5,5,1
Otomí,Bilateral,2.5,10.5,13,1
Zulu,Patrilineal,2.5,10.5,13,1
Duala,Patrilineal,2.5,2.5,5,1
Tequistlatec,Patrilineal,2.5,10.5,13,1
Aztec,Bilateral,2.5,10.5,13,1
Sierra Popoluca,Bilateral,2.5,10.5,13,1
Totonac,Bilateral,10.5,10.5,21,1
Mazateco,Bilateral,2.5,2.5,5,1
Huave,Bilateral,2.5,2.5,5,1
Mixe,Bilateral,2.5,10.5,13,1
Tarasco,Bilateral,2.5,10.5,13,1
Tlaxcalans,Patrilineal,2.5,2.5,5,1
Guna,Bilateral,2.5,10.5,13,1
Bashi,Patrilineal,2.5,2.5,5,1
Lacandon,Patrilineal,2.5,20.5,23,1
Kaqchikel,Patrilineal,2.5,10.5,13,1
Lenca,Bilateral,10.5,10.5,21,1
K'iche',Patrilineal,2.5,2.5,5,1
Ngäbe,Matrilineal,20.5,20.5,41,2
Tolupan,Bilateral,2.5,10.5,13,1
Poqomam,Patrilineal,2.5,2.5,5,1
Tzeltal,Patrilineal,2.5,2.5,5,1
Ch'orti',Bilateral,2.5,10.5,13,1
Ha,Patrilineal,2.5,2.5,5,1
Emberá,Bilateral,10.5,20.5,31,1
Bribri,Matrilineal,10.5,10.5,21,1
Yucatec Maya,Patrilineal,2.5,10.5,13,1
Garifuna,Bilateral,2.5,10.5,13,1
Mam,Patrilineal,2.5,2.5,5,1
Miskito,Bilateral,30.5,20.5,51,2
Callinago,Matrilineal,2.5,10.5,13,1
Cágaba,Bilateral,2.5,2.5,5,1
Cariña,Bilateral,2.5,10.5,13,1
Hunde,Patrilineal,2.5,10.5,13,1
Paraujano,Bilateral,30.5,10.5,41,2
Wayuu,Matrilineal,2.5,10.5,13,1
Yupa,Bilateral,30.5,10.5,41,2
Haitians,Bilateral,2.5,2.5,5,1
Warao,Bilateral,40.5,30.5,71,3
Lokono,Matrilineal,10.5,10.5,21,1
Camaracoto,Bilateral,2.5,20.5,23,1
Macushi,Bilateral,10.5,20.5,31,1
Panare,Bilateral,2.5,30.5,33,1
Lulua,Patrilineal,2.5,10.5,13,1
Rucuyen,Bilateral,10.5,20.5,31,1
Taulípang,Bilateral,10.5,20.5,31,1
Ye'kuana,Bilateral,20.5,30.5,51,2
Piapoco,Bilateral,2.5,20.5,23,1
Ndyuka,Matrilineal,2.5,10.5,13,1
Pumé,Bilateral,20.5,20.5,41,2
Guahibo,Bilateral,10.5,30.5,41,2
Wapishana,Bilateral,20.5,20.5,41,2
Saramaccan,Matrilineal,10.5,20.5,31,1
Rega,Patrilineal,2.5,20.5,23,1
Yabarana,Bilateral,10.5,30.5,41,2
Piaroa,Bilateral,20.5,40.5,61,2
Curripaco,Bilateral,2.5,20.5,23,1
Munduruku,Patrilineal,10.5,30.5,41,2
Tapirapé,Bilateral,10.5,10.5,21,1
Palikur,Patrilineal,2.5,20.5,23,1
Guaica,Bilateral,20.5,30.5,51,2
Sateré Mawé,Patrilineal,10.5,20.5,31,1
Shiriana,Bilateral,30.5,40.5,71,3
Wai-wai,Bilateral,10.5,20.5,31,1
Songye,Patrilineal,2.5,10.5,13,1
Sanema,Bilateral,30.5,40.5,71,3
Yanomami,Bilateral,10.5,2.5,13,1
Sirionó,Bilateral,30.5,50.5,81,3
Cocama,Patrilineal,2.5,10.5,13,1
Chácobo,Bilateral,20.5,20.5,41,2
Tucano,Patrilineal,2.5,20.5,23,1
Ticuna,Patrilineal,10.5,10.5,21,1
Shuar,Bilateral,10.5,20.5,31,1
Yagua,Patrilineal,2.5,50.5,53,2
Cubeo,Patrilineal,10.5,10.5,21,1
Garanganze,Patrilineal,2.5,20.5,23,1
Witoto,Patrilineal,20.5,20.5,41,2
Camba,Bilateral,2.5,10.5,13,1
Amahuaca,Bilateral,2.5,40.5,43,2
Shipibo-Conibo,Bilateral,10.5,20.5,31,1
Inca,Bilateral,2.5,10.5,13,1
Aymara,Patrilineal,2.5,2.5,5,1
Chachi,Bilateral,10.5,10.5,21,1
U'wa,Bilateral,10.5,10.5,21,1
Páez,Bilateral,10.5,10.5,21,1
Muisca,Bilateral,2.5,10.5,13,1
Kpe,Bilateral,2.5,10.5,13,1
Asháninka,Bilateral,2.5,30.5,33,1
Piro,Bilateral,2.5,20.5,23,1
Uru,Bilateral,2.5,10.5,13,1
Yahgan,Bilateral,10.5,20.5,31,1
Mapuche,Patrilineal,10.5,2.5,13,1
Ona,Bilateral,10.5,60.5,71,3
Tehuelche,Bilateral,20.5,70.5,91,3
Alacaluf,Bilateral,10.5,20.5,31,1
Wichí,Bilateral,20.5,20.5,41,2
Terena,Bilateral,20.5,10.5,31,1
Ekonda,Patrilineal,2.5,2.5,5,1
Abipón,Bilateral,20.5,60.5,81,3
Kadiwéu,Bilateral,2.5,40.5,43,2
Choroti,Bilateral,40.5,30.5,71,3
Chamacoco,Bilateral,60.5,40.5,100,3
Guaraní,Bilateral,10.5,10.5,21,1
Toba,Bilateral,20.5,30.5,51,2
Lengua,Bilateral,20.5,50.5,71,3
Bororo,Matrilineal,40.5,50.5,91,3
Kuikuru,Bilateral,10.5,2.5,13,1
Kela,Patrilineal,2.5,40.5,43,2
Nambikwara,Bilateral,40.5,30.5,71,3
Kamayurá,Bilateral,20.5,10.5,31,1
Guató,Bilateral,40.5,20.5,61,2
Paresi,Bilateral,20.5,20.5,41,2
Umotina,Bilateral,20.5,20.5,41,2
Aweti,Bilateral,20.5,20.5,41,2
Carajá,Bilateral,20.5,20.5,41,2
Cayua,Bilateral,20.5,20.5,41,2
Shavante,Patrilineal,40.5,30.5,71,3
Kutsu,Patrilineal,2.5,20.5,23,1
Sherente,Patrilineal,20.5,30.5,51,2
Aweikoma,Bilateral,40.5,60.5,100,3
Canela,Matrilineal,20.5,30.5,51,2
Aimoré,Bilateral,50.5,40.5,91,3
Tenetehara,Bilateral,10.5,20.5,31,1
Tupinambá,Bilateral,20.5,20.5,41,2
Kayapo,Bilateral,10.5,20.5,31,1
Lalia,Patrilineal,2.5,10.5,13,1
Mongo,Patrilineal,10.5,10.5,21,1
Tetela,Patrilineal,2.5,10.5,13,1
Topoke,Patrilineal,2.5,20.5,23,1
Lokele,Patrilineal,2.5,2.5,5,1
Ngala,Patrilineal,2.5,10.5,13,1
Poto,Patrilineal,2.5,2.5,5,1
Fang,Patrilineal,10.5,10.5,21,1
Lovedu,Patrilineal,10.5,2.5,13,1
Bira,Patrilineal,2.5,2.5,5,1
Budu,Patrilineal,2.5,30.5,33,1
Kumu,Patrilineal,2.5,40.5,43,2
Ndaka Babali,Patrilineal,2.5,10.5,13,1
Plains Bira,Patrilineal,2.5,20.5,23,1
Rumbi,Patrilineal,2.5,10.5,13,1
Bombesa,Patrilineal,2.5,10.5,13,1
Budja,Patrilineal,2.5,2.5,5,1
Ndoko,Matrilineal,2.5,10.5,13,1
Ngombe,Patrilineal,2.5,20.5,23,1
Pedi,Patrilineal,2.5,10.5,13,1
Nkundo,Bilateral,10.5,10.5,21,1
Dzem,Bilateral,2.5,10.5,13,1
Kota,Patrilineal,10.5,20.5,31,1
Ngumba,Patrilineal,2.5,10.5,13,1
Sanga,Patrilineal,2.5,10.5,13,1
Kundu,Patrilineal,2.5,10.5,13,1
Mpongwe,Matrilineal,2.5,10.5,13,1
Puku,Patrilineal,2.5,10.5,13,1
Bafia,Patrilineal,2.5,2.5,5,1
Lenge,Patrilineal,10.5,10.5,21,1
Bali Nyonga,Patrilineal,2.5,20.5,23,1
Bamileke,Patrilineal,2.5,10.5,13,1
Bamum,Patrilineal,2.5,10.5,13,1
Banen,Patrilineal,10.5,10.5,21,1
Fungom,Patrilineal,2.5,10.5,13,1
Koko,Patrilineal,2.5,20.5,23,1
Kom,Matrilineal,2.5,10.5,13,1
Ndob,Patrilineal,2.5,10.5,13,1
Nsaw,Patrilineal,2.5,10.5,13,1
Nsungli,Patrilineal,2.5,10.5,13,1
Ndau,Bilateral,2.5,10.5,13,1
Tikar,Patrilineal,2.5,10.5,13,1
Widikum,Patrilineal,2.5,10.5,13,1
Luba,Patrilineal,10.5,20.5,31,1
Baboa,Patrilineal,2.5,20.5,23,1
Rundi,Patrilineal,2.5,2.5,5,1
Fut,Patrilineal,2.5,10.5,13,1
Fon,Patrilineal,2.5,20.5,23,1
Igbo,Patrilineal,2.5,2.5,5,1
Toma,Patrilineal,2.5,10.5,13,1
Akyem,Matrilineal,2.5,10.5,13,1
Shona,Bilateral,10.5,10.5,21,1
Ebira,Patrilineal,10.5,10.5,21,1
Sherbro,Matrilineal,10.5,2.5,13,1
Kpelle,Patrilineal,10.5,10.5,21,1
Banyang,Patrilineal,2.5,10.5,13,1
Ekoi,Patrilineal,2.5,10.5,13,1
Efik,Patrilineal,2.5,10.5,13,1
Kissi,Patrilineal,2.5,2.5,5,1
Ibibio,Patrilineal,2.5,10.5,13,1
Ijaw,Bilateral,2.5,2.5,5,1
Dorobo,Patrilineal,40.5,60.5,100,3
Ambo,Matrilineal,2.5,10.5,13,1
Itsekiri,Bilateral,10.5,10.5,21,1
Afikpo,Bilateral,10.5,2.5,13,1
Edo,Patrilineal,10.5,10.5,21,1
Isoko,Patrilineal,10.5,2.5,13,1
Kukuruku,Bilateral,2.5,10.5,13,1
Eloyi,Patrilineal,2.5,2.5,5,1
Gbagyi,Patrilineal,10.5,10.5,21,1
Idoma,Patrilineal,2.5,10.5,13,1
Ashanti,Bilateral,2.5,10.5,13,1
Igala,Patrilineal,2.5,10.5,13,1
